utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
3830108.308,4266998.253,-88.10342,33.142607,307.8,130.28584,255.81,3.951037,45.13,8.081388,53,1.746868
4105695.195,4188028.469,-85.996562,31.782457,414.5,850.16807,412.5,19.486989,75.12,24.330416,118,1.584253
4072580.035,4403501.195,-85.527882,33.426217,82.7,279.04133,305.32,7.724451,55.74,9.867957,16,0.843262
4172767.359,4312193.007,-85.006312,32.474319,412.2,14390.73187,678.46,26.436849,156.86,38.026261,197,5.704339
3989748.678,4414076.255,-86.200866,33.751917,156.6,3284.11402,652.14,11.986526,116.46,49.732666,118,-1.302017
3950192.604,4343549.589,-86.793157,33.358377,181.2,44719.02741,2424.09,62.163814,325.48,216.123797,332,-20.467954
3828822.146,4227049.833,-88.247798,32.850612,404.5,52.475309,214.61,3.465788,48.76,15.850309,43,2.42618
4013727.922,4361540.277,-86.181643,33.301196,249.7,8934.8509,1140.87,15.888705,214.04,46.432355,171,10.397788
4092741.735,4321195.05,-85.649304,32.77661,212.1,998.26978,518.4,6.145916,80.7,27.771381,73,3.651448
3898779.597,4318365.848,-87.327522,33.324315,291.7,71166.58166,2432.21,102.546562,374.2,340.106194,520,15.856987
3871544.959,4393382.787,-87.304314,33.952927,147.5,2503.22764,918.16,10.481508,220.21,39.893185,79,3.933737
3911591.475,4064095.216,-88.053624,31.417921,101.1,83.036808,252.37,1.575356,49.39,5.39008,14,0.739965
3944316.913,4174633.321,-87.41633,32.14173,264.8,30.296367,102.5,0.592929,22.99,2.28291,23,1.561977
3855102.397,4411304.219,-87.385555,34.132591,44.2,372.62932,356.5,5.522667,82.17,9.17029,9,0.975238
1758231.892,4008156.019,-109.184475,35.416491,187.1,978.059264,347.4,2.171438,117.95,9.961988,109,2.109407
1714812.055,3561668.767,-110.24907,31.546888,193.9,25280.39202,1488.23,15.586582,241.46,122.728815,209,2.277397
1586268.047,4019105.11,-111.01837,35.714053,142.6,34446.34533,1194.61,28.808628,254.54,169.698706,176,-3.46012
1557937.911,3860434.622,-111.525429,34.343019,101.3,2819.513384,653.93,10.781453,126.58,39.097039,47,-1.345791
1719663.467,3758910.842,-109.947699,33.275953,92.3,5601.539594,359.28,3.257437,40.25,18.390819,29,-0.181156
1780715.691,3732885.672,-109.346176,32.978057,92.3,33.34649,43.44,0.242484,3.96,3.232697,7,-0.772227
1329205.806,3820918.061,-114.013445,34.1987,117.1,2010.678405,290.3,3.830234,69.09,28.255002,22,-0.045882
1509076.312,3764948.229,-112.155854,33.54579,312.8,4520601.597,45574.54,1145.511689,9564.95,6572.468879,11706,-116.292106
